,latitude,longitude,status_group
0,-9.85632177,34.93809275,functional
1,-2.14746569,34.6987661,functional
2,-3.82132853,37.46066446,functional
3,-11.15529772,38.48616088,non functional
4,-1.82535885,31.13084671,functional
5,-4.76558728,39.1727956,functional
6,-3.76636472,33.36240982,non functional
7,-4.22619802,32.62061707,non functional
8,-5.14671181,32.71110001,non functional
9,-1.25705061,30.62699053,functional
10,-7.03413939,39.20951812,functional
11,-10.57417468,35.77025785,functional
12,-3.2901937999999995,33.79810612,functional
13,-3.1817833,37.09257412,functional
14,-3.62933335,34.36407268,functional
15,-8.27496163,31.44412134,functional
16,-9.10618458,34.64243884,non functional
17,-9.08551497,34.56926611,non functional
18,-1.94786801,32.92015381,non functional
19,-9.8944125,34.50896732,functional
20,-9.59498965,34.47342985,functional
21,-2e-08,0.0,functional
22,-8.98001429,34.58690108,non functional
23,-4.12559468,37.94002949,functional
24,-4.49556758,29.74706567,functional
25,-3.31753648,37.42275132,non functional
26,-9.94253166,39.37077651,functional
27,-1.73536124,31.10425712,functional
28,-3.2635263,37.61112572,non functional
29,-3.19198926,37.06168837,functional
30,-5.79099991,36.1083125,functional
31,-6.63610419,38.36355454,functional
32,-3.29062725,37.49233371,non functional
33,-9.71590954,34.47835586,functional
34,-7.889986299999999,39.81291224,functional
35,-3.29300336,36.61869946,non functional
36,-9.63851993,33.85434473,non functional
37,-4.6479063,35.85837259,functional
38,-8.22439872,35.89026429,functional
39,-3.89456056,30.6133054,non functional
40,-3.47684942,37.42002692,functional
41,-9.20464923,33.92790176,functional
42,-9.03250291,34.81457364,functional
43,-4.62892053,34.96778863,non functional
44,-3.47855934,36.80607857,non functional
45,-3.83899753,33.34526033,non functional
46,-11.00060373,39.08741514,non functional
47,-9.17290468,33.5406067,functional
48,-8.22756303,35.87141325,functional
49,-9.18987766,34.44128349,functional
50,-3.34929238,37.37285829,functional
51,-8.57166114,32.04683486,non functional
52,-9.44812238,33.95816322,functional
53,-2e-08,0.0,non functional
54,-1.68065404,30.98302258,functional
55,-3.35653763,37.34816881,non functional
56,-3.36819761,37.47943592,functional
57,-3.33981163,36.72112734,non functional
58,-3.80687858,35.56134607,functional
59,-1.56388609,31.45428168,non functional
60,-5.11324963,38.78943655,functional
61,-4.6472894999999985,38.37667127,non functional
62,-4.77975837,29.66972029,non functional
63,-3.35002587,36.94745079,non functional
64,-4.30776106,34.76272634,functional
65,-5.17313618,34.62159801,non functional
66,-9.2035221,34.89725735,functional
67,-1.2857798,30.71609028,non functional
68,-8.88959406,34.55789311,non functional
69,-4.47180947,29.76800862,non functional
70,-8.93495018,35.81898147,non functional
71,-8.57578037,34.46222769,non functional
72,-8.60751263,34.24718,non functional
73,-1.88801974,34.657034499999995,non functional
74,-4.27996794,30.41995839,functional
75,-1.35148627,31.79687285,non functional
76,-9.3264772,34.68047144,functional
77,-3.55703413,36.93165941,functional
78,-4.8348356,38.58082367,non functional
79,-3.36190077,32.25500494,functional
80,-9.27156548,34.28447604,functional
81,-7.02426273,37.72295310000001,non functional
82,-3.3747906000000003,36.75793224,functional
83,-3.36161167,33.53890869,functional
84,-1.60969058,34.19057512,non functional
85,-2.37877187,32.18551701,non functional
86,-7.91231657,35.73447433,functional
87,-2.02646851,31.55890304,non functional
88,-6.63869562,38.35356668,non functional
89,-5.89186837,35.87817211,non functional
90,-4.7268496,29.67098869,non functional
91,-10.47656619,38.96294513,non functional
92,-6.55790327,38.89040167,non functional
93,-4.44803987,35.51217404,functional
94,-1.19438963,31.45311103,non functional
95,-4.34106206,30.21673046,functional
96,-4.23637808,30.12668109,non functional
97,-3.00965923,33.0795039,functional
98,-10.80885305,35.54217277,non functional
99,-3.56601953,33.23583842,non functional
100,-4.99423737,39.04298326,non functional
101,-4.09374985,34.56343795,functional
102,-3.55486258,30.65026741,functional
103,-11.31324316,36.95075936,non functional
