field_1,latitude,longitude,HubName,HubDist
"0",-9.85632177,34.93809275,River/Stream,8.02586132221187
"1",-2.14746569,34.6987661,River/Stream,7.53877802995106
"2",-3.82132853,37.46066446,River/Stream,2.5235748698087
"3",-11.15529772,38.48616088,River/Stream,8.30794166514615
"4",-1.82535885,31.13084671,River/Stream,4.52443921805649
"5",-4.76558728,39.1727956,River/Stream,5.29323566088811
"6",-3.76636472,33.36240982,River/Stream,5.59678026003082
"7",-4.22619802,32.62061707,River/Stream,13.012298811454
"8",-5.14671181,32.71110001,River/Stream,13.6827703086247
"9",-1.25705061,30.62699053,River/Stream,9.06161274774165
"10",-7.03413939,39.20951812,River/Stream,4.4472977624638
"11",-10.57417468,35.77025785,River/Stream,9.51023289258003
"12",-3.2901938,33.79810612,River/Stream,14.5684680863807
"13",-3.1817833,37.09257412,River/Stream,5.01802295380244
"14",-3.62933335,34.36407268,River/Stream,13.2685801647801
"15",-8.27496163,31.44412134,River/Stream,7.59327356816826
"16",-9.10618458,34.64243884,River/Stream,7.63460338390243
"17",-9.08551497,34.56926611,River/Stream,1.90424683040195
"18",-1.94786801,32.92015381,River/Stream,50.6008969851998
"19",-9.8944125,34.50896732,River/Stream,18.6362907868868
"20",-9.59498965,34.47342985,River/Stream,8.70229064211555
"21",-2e-08,0,River/Stream,3342.00499493212
"22",-8.98001429,34.58690108,River/Stream,2.12036769921183
"23",-4.12559468,37.94002949,River/Stream,9.27827199409902
"24",-4.49556758,29.74706567,River/Stream,8.47058126594151
"25",-3.31753648,37.42275132,River/Stream,5.96364722016039
"26",-9.94253166,39.37077651,River/Stream,7.92623281321883
"27",-1.73536124,31.10425712,River/Stream,14.8823291456322
"28",-3.2635263,37.61112572,River/Stream,9.46542587179482
"29",-3.19198926,37.06168837,River/Stream,8.39437426069137
"30",-5.79099991,36.1083125,River/Stream,5.19748893060431
"31",-6.63610419,38.36355454,River/Stream,6.74447325154014
"32",-3.29062725,37.49233371,River/Stream,10.1196428897775
"33",-9.71590954,34.47835586,River/Stream,7.58749504475143
"34",-7.8899863,39.81291224,River/Stream,17.0122555399452
"35",-3.29300336,36.61869946,River/Stream,1.09373679070724
"36",-9.63851993,33.85434473,River/Stream,15.5184980455757
"37",-4.6479063,35.85837259,River/Stream,12.6230809894839
"38",-8.22439872,35.89026429,River/Stream,7.93358203618266
"39",-3.89456056,30.6133054,River/Stream,4.31320858617183
"40",-3.47684942,37.42002692,River/Stream,1.65587652236378
"41",-9.20464923,33.92790176,River/Stream,2.33411860212425
"42",-9.03250291,34.81457364,River/Stream,15.6728698344711
"43",-4.62892053,34.96778863,River/Stream,7.67034785859573
"44",-3.47855934,36.80607857,River/Stream,6.6443086432779
"45",-3.83899753,33.34526033,River/Stream,2.79917428431514
"46",-11.00060373,39.08741514,River/Stream,3.62891135732055
"47",-9.17290468,33.5406067,River/Stream,1.21225858491498
"48",-8.22756303,35.87141325,River/Stream,10.386401997166
"49",-9.18987766,34.44128349,River/Stream,5.03947180411815
"50",-3.34929238,37.37285829,River/Stream,11.6099861699301
"51",-8.57166114,32.04683486,River/Stream,2.09152435095759
"52",-9.44812238,33.95816322,River/Stream,20.3478545467081
"53",-2e-08,0,River/Stream,3342.00499493212
"54",-1.68065404,30.98302258,River/Stream,0.228226543302796
"55",-3.35653763,37.34816881,River/Stream,12.0406467071522
"56",-3.36819761,37.47943592,River/Stream,12.1028928990936
"57",-3.33981163,36.72112734,River/Stream,7.81688703890248
"58",-3.80687858,35.56134607,River/Stream,7.52167677235928
"59",-1.56388609,31.45428168,River/Stream,7.63922709596948
"60",-5.11324963,38.78943655,River/Stream,12.423170323431
"61",-4.6472895,38.37667127,River/Stream,10.7077346701605
"62",-4.77975837,29.66972029,River/Stream,1.62436170749218
"63",-3.35002587,36.94745079,River/Stream,7.76308435206653
"64",-4.30776106,34.76272634,River/Stream,4.75452695416936
"65",-5.17313618,34.62159801,River/Stream,6.67561380079669
"66",-9.2035221,34.89725735,River/Stream,6.67770249958286
"67",-1.2857798,30.71609028,River/Stream,63.8713994449508
"68",-8.88959406,34.55789311,River/Stream,3.44997471014534
"69",-4.47180947,29.76800862,River/Stream,7.46905376250472
"70",-8.93495018,35.81898147,River/Stream,1.12480310123775
"71",-8.57578037,34.46222769,River/Stream,6.15378481755974
"72",-8.60751263,34.24718,River/Stream,8.71758114559692
"73",-1.88801974,34.6570345,River/Stream,6.00264663128365
"74",-4.27996794,30.41995839,River/Stream,1.86570613687069
"75",-1.35148627,31.79687285,River/Stream,12.2586138468088
"76",-9.3264772,34.68047144,River/Stream,6.35283969780934
"77",-3.55703413,36.93165941,River/Stream,9.56035237136674
"78",-4.8348356,38.58082367,River/Stream,7.14958571576355
"79",-3.36190077,32.25500494,River/Stream,9.24819317785049
"80",-9.27156548,34.28447604,River/Stream,3.39280906354357
"81",-7.02426273,37.7229531,River/Stream,0.557490311418129
"82",-3.3747906,36.75793224,River/Stream,5.83931432208059
"83",-3.36161167,33.53890869,River/Stream,2.9661013938315
"84",-1.60969058,34.19057512,River/Stream,3.50184504074692
"85",-2.37877187,32.18551701,River/Stream,20.8524434718622
"86",-7.91231657,35.73447433,River/Stream,6.33455785719553
"87",-2.02646851,31.55890304,River/Stream,3.45562002509399
"88",-6.63869562,38.35356668,River/Stream,7.22060573770114
"89",-5.89186837,35.87817211,River/Stream,4.70683157754595
"90",-4.7268496,29.67098869,River/Stream,7.29373061457473
"91",-10.47656619,38.96294513,River/Stream,2.2392021866677
"92",-6.55790327,38.89040167,River/Stream,11.8565838282442
"93",-4.44803987,35.51217404,River/Stream,11.1038958630584
"94",-1.19438963,31.45311103,River/Stream,1.91689982121219
"95",-4.34106206,30.21673046,River/Stream,1.4401987659075
"96",-4.23637808,30.12668109,River/Stream,1.98309696637551
