title,studio,domestic_gross,foreign_gross,year,genre pull,pull from tmdb
Dinner for Schmucks,P/DW,73000000,13800000,2010,Comedy,[35]
Marmaduke,Fox,33600000,50100000,2010,"Comedy,Family","[10751, 35]"
Piranha 3D,W/Dim.,25000000,58200000,2010,"Comedy,Horror","[35, 27]"
Oceans,BV,19400000,63200000,2010,,"[99, 10751]"
Edge of Darkness,WB,43300000,37800000,2010,"Crime,Drama,Mystery","[80, 18, 9648, 53]"
Vampires Suck,Fox,36700000,43900000,2010,Comedy,"[35, 27]"
Letters to Juliet,Sum.,53000000,26100000,2010,"Adventure,Comedy,Drama","[35, 18, 10749]"
The Back-Up Plan,CBS,37500000,40000000,2010,"Comedy,Romance","[35, 10749]"
If You Are the One 2 (Fei Cheng Wu Rao II),CL,427000,75600000,2010,,
Diary of a Wimpy Kid,Fox,64000000,11700000,2010,"Comedy,Drama,Family","[35, 10751]"
Easy A,SGem,58400000,16600000,2010,"Comedy,Drama,Romance",[35]
Hubble 3D,WB,52400000,21500000,2010,,[99]
Takers,SGem,57700000,11300000,2010,"Action,Crime,Thriller","[28, 80, 18, 53]"
Tales from Earthsea,BV,48500,68600000,2010,,"[12, 14, 16, 878]"
Legion (2010),SGem,40200000,27800000,2010,,
The American,Focus,35600000,32299999,2010,"Crime,Drama,Thriller","[80, 18, 53]"
The Last Exorcism,LGF,41000000,26700000,2010,"Drama,Horror,Thriller","[27, 18, 53]"
The Next Three Days,LGF,21100000,46300000,2010,"Action,Crime,Drama","[10749, 18, 53, 80]"
The Girl Who Played with Fire,MBox,7600000,59500000,2010,,"[18, 28, 53, 80, 9648]"
Skyline,Uni.,21400000,45400000,2010,"Action,Sci-Fi,Thriller","[878, 28]"
Hot Tub Time Machine,MGM,50300000,14300000,2010,"Comedy,Sci-Fi","[878, 35, 12]"
Devil,Uni.,33600000,29100000,2010,"Horror,Mystery,Thriller","[27, 9648, 53]"
127 Hours,FoxS,18300000,42400000,2010,"Adventure,Biography,Drama","[12, 18, 53]"
Tyler Perry's Why Did I Get Married Too?,LGF,60100000,578000,2010,,
Secretariat,BV,59700000,537000,2010,"Biography,Drama,Family",[18]
The Ghost Writer,Sum.,15500000,44700000,2010,"Drama,Mystery,Thriller","[53, 9648]"
Morning Glory,Par.,31000000,29000000,2010,"Comedy,Drama,Romance","[35, 18, 10749]"
Remember Me,Sum.,19100000,37000000,2010,"Drama,Romance","[18, 10749]"
Cop Out,WB,44900000,10700000,2010,"Action,Comedy,Crime","[28, 35, 80]"
The Crazies,Over.,39100000,15700000,2010,"Horror,Thriller","[9648, 27, 28]"
From Paris with Love,LGF,24100000,28700000,2010,,"[28, 80, 53]"
Daybreakers,LGF,30100000,21300000,2010,,
Alpha and Omega,LGF,25100000,25400000,2010,,"[16, 10751, 35, 12, 10749]"
The Switch,Mira.,27800000,22100000,2010,"Comedy,Drama,Romance","[35, 10749, 18]"
She's Out of My League,Par.,32000000,17800000,2010,"Comedy,Romance","[35, 10749]"
Death at a Funeral (2010),SGem,42700000,6300000,2010,,
How Do You Know,Sony,30200000,18500000,2010,,"[35, 18, 10749]"
Charlie St. Cloud,Uni.,31200000,17000000,2010,"Drama,Fantasy,Romance","[18, 10749]"
Scott Pilgrim vs. the World,Uni.,31500000,16100000,2010,,"[28, 35, 10749]"
Heartbreaker,IFC,504000,46900000,2010,,"[10749, 35]"
The Spy Next Door,LGF,24300000,20900000,2010,"Action,Comedy,Family","[28, 35, 10751]"
"The Good, the Bad, the Weird",IFC,128000,44100000,2010,,
Machete,Fox,26600000,17500000,2010,"Action,Crime,Thriller","[28, 35, 53]"
The Girl Who Kicked the Hornet's Nest,MBox,5200000,38300000,2010,,"[28, 53, 80, 9648]"
The Man From Nowhere,CJ,528000,42500000,2010,,
When in Rome,BV,32700000,10400000,2010,,"[35, 14, 10749]"
My Name is Khan,FoxS,4000000,38300000,2010,,"[18, 10749]"
Going the Distance,WB (NL),17800000,24200000,2010,"Comedy,Romance","[35, 18, 10749]"
The Concert,Wein.,658000,40500000,2010,,
Agora,NM,619000,38400000,2010,,
For Colored Girls,LGF,37700000,17300,2010,Drama,[18]
Brooklyn's Finest,Over.,27200000,9300000,2010,,
Furry Vengeance,Sum.,17600000,18600000,2010,"Comedy,Family","[35, 10751]"
Faster,CBS,23200000,12400000,2010,"Action,Crime,Drama","[80, 18, 28, 53]"
The Kids Are All Right,Focus,20800000,13900000,2010,"Comedy,Drama,Romance","[35, 18]"
You Will Meet a Tall Dark Stranger,SPC,3200000,31000000,2010,"Comedy,Drama,Romance","[35, 18, 10749]"
The Secret in Their Eyes,SPC,6400000,27600000,2010,,"[80, 18, 9648, 10749]"
Avatar: Special Edition,Fox,10700000,22500000,2010,,
Leap Year,Uni.,25900000,6700000,2010,"Comedy,Romance","[10749, 35]"
You Again,BV,25700000,6300000,2010,"Comedy,Family,Romance","[35, 10749]"
Mesrine: Killer Instinct,MBox,552000,30500000,2010,,"[18, 28, 53, 80]"
The Losers,WB,23600000,5800000,2010,"Action,Adventure,Crime","[28, 12, 80, 9648, 53]"
Case 39,ParV,13300000,14900000,2010,,
Ramona and Beezus,Fox,26200000,1100000,2010,"Adventure,Comedy,Family","[35, 10751]"
Splice,WB,17000000,9800000,2010,,
Fair Game (2010),Sum.,9500000,14600000,2010,,
Let Me In,Over.,12100000,12000000,2010,"Drama,Fantasy,Horror","[18, 27, 9648]"
Mao's Last Dancer,Gold.,4800000,17500000,2010,,"[18, 10749]"
Just Wright,FoxS,21500000,29900,2010,"Comedy,Romance,Sport","[35, 18, 10749]"
Our Family Wedding,FoxS,20300000,1200000,2010,"Comedy,Romance",[35]
My Soul to Take,Uni.,14700000,6200000,2010,"Horror,Mystery,Thriller","[18, 27, 9648, 53]"
71 Into the Fire,JS,177000,20800000,2010,,
"I Love You, Phillip Morris",RAtt.,2000000,18700000,2010,,
Country Strong,SGem,20200000,310000,2010,"Drama,Music","[18, 10749, 10402]"
Another Year,SPC,3200000,16500000,2010,"Comedy,Drama","[35, 18]"
Youth in Revolt,W/Dim.,15300000,4400000,2010,,
Buried,LGF,1000000,18100000,2010,"Drama,Mystery,Thriller","[18, 53, 9648]"
[Rec] 2,Magn.,27800,18500000,2010,,
Repo Men,Uni.,13800000,4600000,2010,"Action,Crime,Sci-Fi","[28, 878, 53, 80]"
A Prophet (Un prophète),SPC,2100000,15800000,2010,,
Soul Kitchen,IFC,277000,17600000,2010,,
Mother (2010),Magn.,552000,16600000,2010,,
Micmacs,SPC,1300000,15100000,2010,,
The Nutcracker in 3D,Free,195000,16000000,2010,"Action,Family,Fantasy","[10402, 14, 28, 10751]"
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000,9900000,2010,Documentary,[99]
I Hate Luv Storys,UTV,848000,14900000,2010,,"[35, 18, 10749]"
Extraordinary Measures,CBS,12100000,3100000,2010,Drama,[18]
Somewhere,Focus,1800000,12200000,2010,"Comedy,Drama","[35, 18]"
Winter's Bone,RAtt.,6500000,7300000,2010,"Drama,Mystery",[18]
The Last Station,SPC,6600000,6900000,2010,Drama,
Raajneeti,UTV,1500000,11100000,2010,,
Made in Dagenham,SPC,1100000,11300000,2010,"Biography,Comedy,Drama","[35, 18, 36]"
Blue Valentine,Wein.,9700000,2600000,2010,"Drama,Romance","[18, 10749]"
Tamara Drewe,SPC,560000,11400000,2010,,"[35, 10749]"
Chloe,SPC,3100000,8600000,2010,"Drama,Music,Romance","[18, 53, 9648]"
Looking for Eric,IFC,55800,11500000,2010,,
The Warrior's Way,Rela.,5700000,5400000,2010,"Action,Fantasy,Western","[12, 14, 28, 37, 53]"
I Am Love,Magn.,5000000,5900000,2010,,
Jonah Hex,WB,10500000,356000,2010,"Action,Drama,Fantasy","[28, 37, 18, 14, 53]"
Harry Brown,Gold.,1800000,8500000,2010,,"[53, 80, 18, 28]"
Cyrus,FoxS,7500000,2500000,2010,"Crime,Horror,Mystery","[35, 18, 10749]"
Conviction,FoxS,6800000,2900000,2010,"Biography,Crime,Drama",[18]
Get Low,SPC,9200000,518000,2010,,"[35, 18, 9648]"
Babies,Focus,7300000,2200000,2010,,[99]
Stone,Over.,1800000,7700000,2010,"Drama,Thriller","[18, 53]"
Peepli Live,UTV,758000,8700000,2010,,
Never Let Me Go,FoxS,2400000,7000000,2010,"Drama,Romance,Sci-Fi","[18, 10749, 878]"
Mid-August Lunch,Zeit.,675000,8700000,2010,,
MacGruber,Uni.,8500000,797000,2010,"Action,Comedy,Romance","[28, 12, 35]"
City Island,Anch.,6700000,1200000,2010,,
Inside Job,SPC,4300000,3600000,2010,"Crime,Documentary",[99]
The Joneses,RAtt.,1500000,5500000,2010,"Comedy,Drama","[35, 18]"
Centurion,Magn.,124000,6700000,2010,"Action,Adventure,Drama","[12, 28, 18]"
Animal Kingdom,SPC,1000000,5700000,2010,"Crime,Drama","[18, 53, 80, 9648]"
Nowhere Boy,Wein.,1500000,5100000,2010,,[18]
It's Kind of a Funny Story,Focus,6400000,128000,2010,"Comedy,Drama,Romance","[35, 18]"
"Waiting for ""Superman""",ParV,6400000,9300,2010,,[99]
Greenberg,Focus,4200000,1900000,2010,,"[35, 18, 10749]"
Coco Chanel & Igor Stravinsky,SPC,1600000,4099999,2010,,"[18, 10749]"
Vincere,IFC,619000,5100000,2010,,"[18, 36]"
The Illusionist (2010),SPC,2200000,3400000,2010,,
Exit Through the Gift Shop,PDA,3300000,2000000,2010,,[99]
Mademoiselle Chambon,Lorb.,532000,4700000,2010,,
Solitary Man,Anch.,4400000,818000,2010,,
Rabbit Hole,LGF,2200000,2900000,2010,Drama,[18]
Vision,Zeit.,435000,4600000,2010,,
Mother and Child,SPC,1100000,3900000,2010,,
The Runaways,App.,3600000,1100000,2010,"Biography,Drama,Music","[18, 10402]"
Four Lions,Drft.,305000,4400000,2010,"Comedy,Crime,Drama","[35, 80, 18]"
Wild Grass,SPC,404000,4200000,2010,,
Please Give,SPC,4000000,280000,2010,"Comedy,Drama","[35, 18]"
Monsters,Magn.,237000,4000000,2010,"Drama,Sci-Fi,Thriller","[18, 53, 878]"
Rare Exports: A Christmas Tale,Osci.,236000,3800000,2010,,[14]
The Killer Inside Me,IFC,217000,3800000,2010,"Crime,Drama,Horror","[80, 18, 53]"
The Perfect Game,IW,1000000,2800000,2010,,"[18, 10751]"
To Save a Life,Gold.,3800000,45800,2010,,[18]
Inspector Bellamy,IFC,108000,3600000,2010,,
Catfish,Rog.,3200000,242000,2010,,[99]
Wild Target,Free,109000,3300000,2010,"Action,Comedy,Crime","[28, 35]"
Outside the Law (Hors-la-loi),,96900,3300000,2010,,
Frozen (2010),Anch.,246000,2900000,2010,,
Dabangg,Eros,1300000,1700000,2010,,"[28, 35, 80]"
Kites,Relbig.,1600000,1300000,2010,"Action,Drama,Romance","[18, 28, 10749]"
Letters to God,Viv.,2800000,60300,2010,"Drama,Family","[18, 10751]"
Twelve,Hann.,184000,2400000,2010,,"[53, 18, 28, 80]"
Tees Maar Khan,UTV,1100000,1400000,2010,,
Fish Tank,IFC,375000,2000000,2010,,
Housefull,Eros,1200000,1200000,2010,Comedy,
Golmaal 3,Eros,1100000,935000,2010,,"[35, 10751]"
After.Life,Anch.,109000,1900000,2010,,"[18, 27, 9648, 53]"
Cairo Time,IFC,1600000,391000,2010,,
Flipped,WB,1800000,,2010,"Comedy,Drama,Romance","[10749, 18]"
Guzaarish,UTV,1000000,695000,2010,,"[18, 10749]"
Ondine,Magn.,550000,1100000,2010,,
Anjaana Anjaani,Eros,855000,761000,2010,,"[35, 18, 10402, 10749]"
John Rabe,Strand,67500,1400000,2010,,
Restrepo,NGE,1300000,105000,2010,,"[99, 10752]"
Raavan,Relbig.,709000,648000,2010,,
The City of Your Final Destination,Scre.,493000,859000,2010,,
It's a Wonderful Afterlife,UTV,,1300000,2010,"Comedy,Drama,Fantasy","[35, 10749]"
Ajami,Kino,622000,669000,2010,,
Army of Crime,Lorb.,37000,1200000,2010,,
Lebanon,SPC,368000,830000,2010,,
Howl,Osci.,617000,566000,2010,,[18]
Videocracy,Kino,23700,1200000,2010,,
When You're Strange,Abr.,246000,901000,2010,,"[99, 10402]"
The Salvation Poem (Poema de Salvacion),CZ,915000,183000,2010,,
Casino Jack,ATO,1000000,40700,2010,"Biography,Comedy,Crime","[80, 35, 18]"
Leaving,IFC,176000,893000,2010,,
Khatta Meetha,Eros,542000,499000,2010,,"[35, 18]"
We Are Family,UTV,638000,393000,2010,,"[18, 10751]"
Leaves of Grass,First,70100,949000,2010,,"[35, 80, 53]"
North Face,MBox,711000,216000,2010,,
Creation,NM,341000,555000,2010,,
No One Knows About Persian Cats,IFC,81800,798000,2010,,
Carlos,IFC,146000,726000,2010,,"[80, 18, 53, 36]"
Hideaway (Le Refuge),Strand,34500,837000,2010,,
The Disappearance of Alice Creed,Anch.,167000,701000,2010,,"[80, 18, 53]"
Break Ke Baad,Relbig.,428000,389000,2010,,"[18, 35, 10749]"
Veer (2010),Eros,527000,277000,2010,,
Life During Wartime,IFC,281000,487000,2010,"Documentary,History",
Enter the Void,IFC,336000,418000,2010,,"[14, 18]"
The Secret of Kells,GK,677000,62700,2010,,
The Polar Express (IMAX re-issue 2010),WB,673000,,2010,,
No Problem,Eros,285000,369000,2010,,
All Good Things,Magn.,582000,62500,2010,"Crime,Drama,Mystery","[18, 9648, 53, 80, 10749]"
Jack Goes Boating,Over.,542000,77600,2010,,"[35, 18, 10749]"
Holy Rollers,FInd.,303000,305000,2010,,"[80, 18, 53]"
Chain Letter,NFC,139000,447000,2010,,"[27, 53]"
I Spit on Your Grave,Anch.,93100,480000,2010,"Horror,Thriller","[53, 80, 27]"
I'm Still Here,Magn.,409000,160000,2010,,"[10402, 35, 18]"
Salt of this Sea,Lorb.,11700,545000,2010,,
Undertow (2010),TFC,109000,393000,2010,,
Father of My Children,IFC,144000,335000,2010,,[18]
The Greatest (2010),Pala.,115000,359000,2010,,
The Extra Man,Magn.,453000,4500,2010,Comedy,[35]
Tiny Furniture,IFC,392000,,2010,"Comedy,Drama,Romance","[10749, 35, 18]"
Dogtooth,Kino,110000,274000,2010,,
Grease (Sing-a-Long re-issue),Par.,366000,,2010,,
The Tempest,Mira.,278000,68700,2010,"Comedy,Drama,Fantasy","[18, 14]"
The Good Heart,Magn.,20900,323000,2010,,"[18, 35, 10749]"
Formosa Betrayed,Scre.,225000,101000,2010,,"[28, 12, 18, 9648, 53]"
Red Hill,Strand,21100,300000,2010,,"[28, 53, 37]"
Welcome to the Rileys,Gold.,159000,158000,2010,Drama,[18]
"A Woman, A Gun and A Noodle Shop",SPC,191000,121000,2010,,
The Girl on the Train,Strand,208000,97100,2010,Thriller,[53]
Mesrine: Public Enemy No. 1,MBox,275000,28100,2010,,
44 Inch Chest,Imag.,39000,255000,2010,,
Karthik Calling Karthik,Eros,286000,7100,2010,,"[18, 10749, 53]"
Last Train Home,Zeit.,288000,,2010,,"[99, 18]"
Eyes Wide Open,NAV,26300,250000,2010,,
Waste Land,Arth.,188000,88700,2010,,[99]
South of the Border,CLS,199000,70800,2010,,[99]
Human Centipede,IFC,181000,70700,2010,,
"Lovely, Still",Mont.,128000,106000,2010,,
The Girl (Flickan),Olive,2200,229000,2010,,
Sweetgrass,CGld,207000,,2010,,
Bitch Slap,Free,17400,182000,2010,,"[18, 28, 35, 53, 80]"
Chance Pe Dance,UTV,169000,24300,2010,,"[18, 10749]"
Client 9: The Rise and Fall of Eliot Spitzer,Magn.,189000,3500,2010,,[99]
Casino Jack and the United States of Money,Magn.,177000,,2010,,[99]
Perrier's Bounty,IFC,800,167000,2010,,"[28, 35, 80, 18]"
Around a Small Mountain,CGld,33200,131000,2010,,
Spring Fever,Strand,10800,150000,2010,,"[18, 10749]"
The Eclipse,Magn.,133000,26400,2010,,
George A. Romero's Survival of the Dead,Magn.,102000,41500,2010,,
The Romantics,FOAK,107000,17300,2010,,"[35, 18, 10749]"
Celine: Through the Eyes of the World,Sony,,119000,2010,,"[99, 10402]"
Freakonomics,Magn.,101000,16400,2010,Documentary,[99]
Saint John of Las Vegas,IVP,103000,9100,2010,,
Band Baaja Baaraat,Yash,43800,60700,2010,,
White Lion,Scre.,,99600,2010,,
Kisses,Osci.,81700,15300,2010,,
Waking Sleeping Beauty,BV,80700,4200,2010,,
Enemies of the People,ICir,73200,6400,2010,,[99]
Badmaash Company,Yash,,64400,2010,,
Hadewijch,IFC,5000,57500,2010,,
Alamar,FM,61600,,2010,,"[99, 18, 10751]"
As Good as Dead,First,2000,53600,2010,,"[28, 12, 53]"
Inhale,IFC,4100,51000,2010,,"[18, 28, 53]"
Hatchet 2,Vita.,52600,,2010,,
District B13: Ultimatum,Magn.,36100,16200,2010,,
GasLand,WOW,30800,18600,2010,,[99]
Boogie Woogie,IFC,2600,44900,2010,,
Come Undone (2010),FM,10000,31300,2010,,
The Red Baron,Mont.,37200,3100,2010,,"[28, 12, 18, 36, 10752]"
Bluebeard,Strand,33500,5200,2010,,
Daddy Longlegs,IFC,21800,11500,2010,,"[18, 35]"
Living in Emergency,Truly,32200,,2010,,
Nenette,Kino,18000,5400,2010,,
Picture Me,Strand,12000,10400,2010,,[99]
The Thorn in the Heart,Osci.,7400,10500,2010,,[99]
The Taqwacores,Strand,11400,,2010,,"[28, 35, 18]"
Cherry,Abr.,11400,,2010,,"[35, 18, 10749]"
Terkel in Trouble,Indic.,10800,,2010,,"[16, 35]"
Kimjongilia,Lorb.,4400,,2010,,
Aashayein (Wishes),Relbig.,,3800,2010,,
Harry Potter and the Deathly Hallows Part 2,WB,381000000,960500000,2011,,
Transformers: Dark of the Moon,P/DW,352400000,771400000,2011,"Action,Adventure,Sci-Fi","[28, 878, 12]"
Pirates of the Caribbean: On Stranger Tides,BV,241100000,804600000,2011,"Action,Adventure,Fantasy","[12, 28, 14]"
The Twilight Saga: Breaking Dawn Part 1,Sum.,281300000,430900000,2011,,
Mission: Impossible - Ghost Protocol,Par.,209400000,485300000,2011,,"[28, 53, 12]"
Kung Fu Panda 2,P/DW,165200000,500400000,2011,"Action,Adventure,Animation","[16, 10751]"
Fast Five,Uni.,209800000,416300000,2011,"Action,Crime,Thriller","[28, 53, 80]"
The Hangover Part II,WB,254500000,332300000,2011,"Comedy,Mystery",[35]
The Smurfs,Sony,142600000,421100000,2011,"Adventure,Animation,Comedy","[16, 10751, 12, 35, 14]"
Cars 2,BV,191500000,370700000,2011,"Adventure,Animation,Comedy","[16, 10751, 12, 35]"
Puss in Boots,P/DW,149300000,405700000,2011,"Action,Adventure,Animation","[28, 12, 16, 10751, 14, 35]"
Sherlock Holmes: A Game of Shadows,WB,186800000,358600000,2011,"Action,Adventure,Crime","[12, 28, 80, 9648]"
Rio,Fox,143600000,341000000,2011,"Adventure,Animation,Comedy","[16, 12, 35, 10751]"
Rise of the Planet of the Apes,Fox,176800000,305000000,2011,"Action,Drama,Sci-Fi","[53, 28, 18, 878]"
Thor,Par.,181000000,268300000,2011,"Action,Adventure,Fantasy","[12, 14, 28]"
The Adventures of Tintin,Par.,77600000,296400000,2011,"Action,Adventure,Animation","[12, 16, 9648]"
Captain America: The First Avenger,Par.,176700000,193900000,2011,"Action,Adventure,Sci-Fi","[28, 12, 878]"
X-Men: First Class,Fox,146400000,207200000,2011,"Action,Adventure,Sci-Fi","[28, 878, 12]"
Alvin and the Chipmunks: Chipwrecked,Fox,133100000,209600000,2011,"Adventure,Animation,Comedy","[35, 14, 10751, 10402, 16]"
Real Steel,BV,85500000,213800000,2011,"Action,Drama,Family","[28, 878, 18]"
Bridesmaids,Uni.,169100000,119300000,2011,"Comedy,Romance","[35, 10749]"
Super 8,Par.,127000000,133100000,2011,"Mystery,Sci-Fi,Thriller","[53, 878, 9648]"
Rango,Par.,123500000,122200000,2011,"Adventure,Animation,Comedy","[16, 35, 10751, 37, 12]"
The Girl with the Dragon Tattoo (2011),Sony,102500000,130100000,2011,,
The Green Hornet,Sony,98800000,129000000,2011,"Action,Comedy,Crime","[28, 80, 35]"
Immortals,Rela.,83500000,143400000,2011,"Action,Drama,Fantasy","[14, 28, 18]"
Green Lantern,WB,116600000,103300000,2011,"Action,Adventure,Sci-Fi","[12, 28, 53, 878]"
The Help,BV,169700000,46900000,2011,Drama,[18]
Bad Teacher,Sony,100300000,115900000,2011,"Comedy,Romance",[35]
Just Go With It,Sony,103000000,111900000,2011,,"[35, 10749]"
Battle: Los Angeles,Sony,83600000,128300000,2011,,"[28, 878]"
Horrible Bosses,WB (NL),117500000,92100000,2011,"Comedy,Crime","[35, 80]"
Paranormal Activity 3,Par.,104000000,103000000,2011,"Horror,Mystery,Thriller",[27]
Gnomeo and Juliet,BV,100000000,94000000,2011,,
Mr. Popper's Penguins,Fox,68200000,119100000,2011,,"[35, 10751]"
Hugo,Par.,73900000,111900000,2011,"Adventure,Drama,Family","[12, 18, 10751]"
The Lion King (in 3D),BV,94200000,91300000,2011,,
Hop,Uni.,108100000,75900000,2011,"Adventure,Animation,Comedy","[16, 35, 10751]"
War Horse,BV,79900000,97700000,2011,"Drama,History,War","[18, 10752]"
The Descendants,FoxS,82600000,94700000,2011,"Comedy,Drama","[35, 18]"
Cowboys & Aliens,Uni.,100200000,74600000,2011,,"[28, 878, 53, 37]"
In Time,Fox,37500000,136400000,2011,"Action,Crime,Drama","[28, 53, 878]"
Zookeeper,Sony,80400000,89500000,2011,"Comedy,Family,Romance","[35, 10749, 10751]"
